Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
Lopoke,SHC,,40339,Kakkar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5841372872,31.7105352,74.5333285,5841372872,28/07/20,28/07/20,Q3,,0,,Kakkar,,31.7105352,74.5333285,,"1,085","1,668","7,436","2,186","1,765"
Lopoke,SHC,,40339,Kawen,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6261352527,31.7211578,74.6001115,6261352527,28/07/20,28/07/20,Q3,,0,,Kawen,,31.7211578,74.6001115,,982,"1,120","7,217","1,736","1,736"
Lopoke,SHC,,40339,Modhe,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8567235786,31.6586187,74.5717754,8567235786,04/03/21,04/03/21,Q1,,0,,Modhe,,31.6586187,74.5717754,,297,512,"7,199",590,658
Lopoke,SHC,,40339,Mohleke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8622536889,31.7765189,74.6110183,8622536889,28/07/20,28/07/20,Q3,,0,,Mohleke,,31.7765189,74.6110183,,"1,309","2,382","7,888","2,562","2,472"
Lopoke,SHC,,40339,Ranike,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3781674456,31.6176072,74.6302796,3781674456,01/03/21,01/03/21,Q1,,0,,Ranike,,31.6176072,74.6302796,,922,910,"8,557","1,915","1,991"
Lopoke,SHC,,40339,Rorawala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7756824756,31.5976524,74.5874587,7756824756,04/03/21,04/03/21,Q1,,0,,Rorawala,,31.5976524,74.5874587,,619,"1,208","7,802","1,209","1,389"
Lopoke,SHC,,40339,SC Mohawa,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8858825220,31.5687647,74.6332725,8858825220,30/06/19,30/06/19,Q2,,0,,SC Mohawa,,31.5687647,74.6332725,,665,"2,306","8,158","2,733","1,724"
Lopoke,SHC,,40339,Sourian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7818587524,31.778895,74.6848691,7818587524,30/06/19,30/06/19,Q2,,0,,Sourian,,31.778895,74.6848691,,"1,154","2,804","8,819","2,813","2,309"
Lopoke,SHC,,40339,Vanike,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4577467147,31.6658827,74.6336385,4577467147,28/07/20,28/07/20,Q3,,0,,Vanike,,31.6658827,74.6336385,,85,205,"4,385",734,221
Manawala,SHC,,40541,Bhangwan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8757327633,31.5900905,75.0576467,8757327633,30/06/19,30/06/19,Q2,,0,,Bhangwan,,31.5900905,75.0576467,,144,930,"7,829","1,067",490
Manawala,SHC,,40541,Bundala (A),,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2358782379,31.5298979,74.9820382,2358782379,30/06/19,30/06/19,Q2,,0,,Bundala (A),,31.5298979,74.9820382,,177,"2,336","10,301","2,909","2,188"
Manawala,SHC,,40541,Devidasspura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7173626883,31.5744122,75.02844,7173626883,30/11/19,30/11/19,Q4,,0,,Devidasspura,,31.5744122,75.02844,,698,941,"10,093","1,087","1,071"
Manawala,SHC,,40541,Gehri Mandi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1834514885,31.5832096,75.0496153,1834514885,30/06/19,30/06/19,Q2,,0,,Gehri Mandi,,31.5832096,75.0496153,,83,"2,891","9,098","3,073",704
Manawala,SHC,,40541,Janian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5814578372,31.5580126,75.0243678,5814578372,30/06/19,30/06/19,Q2,,0,,Janian,,31.5580126,75.0243678,,733,"1,947","5,019","2,047","1,660"
Manawala,SHC,,40541,Makhanwindi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2846623383,31.6703552,75.0024066,2846623383,30/06/19,30/06/19,Q2,,0,,Makhanwindi,,31.6703552,75.0024066,,263,518,"2,544",734,496
Manawala,SHC,,40541,Malian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1526232325,31.5621981,75.0810082,1526232325,30/06/19,30/06/19,Q2,,0,,Malian,,31.5621981,75.0810082,,"1,740","1,669","6,519","2,124","2,022"
Manawala,SHC,,40541,Manawala Khurd,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1338516113,31.6496465,74.8190733,1338516113,30/06/19,30/06/19,Q2,,0,,Manawala Khurd,,31.6496465,74.8190733,,79,"1,469","7,905","1,527",373
Manawala,SHC,,40541,Mehma,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4618864179,31.5745919,74.9367695,4618864179,30/06/19,30/06/19,Q2,,0,,Mehma,,31.5745919,74.9367695,,235,"2,014","9,356","2,014","1,013"
Manawala,SHC,,40541,Nizampur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6431513156,31.6490847,74.9944805,6431513156,30/11/19,30/11/19,Q4,,0,,Nizampur,,31.6490847,74.9944805,,238,"1,173","8,862","1,326","1,236"
Manawala,SHC,,40541,Raipur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3586284667,31.6510155,75.0485201,3586284667,30/11/19,30/11/19,Q4,,0,,Raipur,,31.6510155,75.0485201,,338,581,"2,389",581,581
